category,price,discount,quantity,payment_method,region,returned,total_amount,shipping_cost,profit_margin,customer_age,customer_gender,delivery_days,order_year,order_month,order_day_of_week
Beauty,3.65,0.0,1,UPI,South,0,3.65,1.97,-0.33,54,Female,4,2024,7,0
Electronics,857.18,0.0,3,COD,West,0,2571.54,12.41,296.17,61,Female,4,2024,8,5
Home,168.01,0.05,2,Debit Card,East,0,319.22,7.51,81.87,57,Male,6,2024,1,5
Beauty,43.33,0.0,3,Debit Card,Central,0,129.99,6.28,52.22,53,Female,4,2025,7,2
Fashion,22.26,0.0,1,Wallet,East,0,22.26,3.96,3.83,27,Male,7,2025,2,5
Fashion,5.15,0.05,1,Credit Card,East,0,4.89,3.77,-2.06,36,Male,5,2023,9,1
Fashion,37.42,0.1,5,COD,Central,0,168.39,8.25,50.69,29,Male,3,2024,9,3
Beauty,115.85,0.15,1,Debit Card,West,0,98.47,6.58,37.73,40,Female,5,2025,5,4
Electronics,823.81,0.0,1,COD,South,0,823.81,8.88,89.98,32,Female,4,2025,5,3
Sports,17.35,0.1,1,Debit Card,West,1,15.62,4.69,0.0,41,Male,5,2025,2,1
Home,37.39,0.2,1,Credit Card,North,0,29.91,3.68,4.69,49,Male,5,2025,2,1
Fashion,23.33,0.0,5,Credit Card,Central,0,116.65,7.12,33.71,38,Male,5,2025,5,4
Toys,36.89,0.15,1,Credit Card,East,0,31.36,3.99,8.55,47,Female,6,2024,11,4
Home,239.28,0.2,1,Credit Card,South,0,191.42,8.6,45.0,69,Male,4,2024,11,3
Home,36.94,0.0,1,COD,South,0,36.94,5.01,5.33,49,Male,7,2023,10,0
Toys,16.98,0.0,2,Credit Card,North,0,33.96,4.16,9.42,19,Male,4,2024,11,3
Home,101.74,0.0,2,Wallet,East,0,203.48,7.89,49.08,54,Female,6,2024,6,5
Toys,12.52,0.2,1,Credit Card,North,0,10.02,2.22,1.79,51,Male,3,2024,7,3
Home,111.08,0.0,1,Debit Card,North,0,111.08,7.66,23.44,39,Male,5,2024,8,1
Fashion,22.03,0.05,3,COD,East,0,62.79,5.86,16.12,50,Female,8,2023,12,5
Beauty,21.58,0.05,3,UPI,North,0,61.5,5.64,22.04,60,Male,3,2023,12,0
Fashion,61.89,0.05,1,COD,South,0,58.8,7.65,12.93,28,Male,4,2025,1,1
Electronics,70.98,0.0,2,UPI,West,0,141.96,6.85,10.19,46,Female,4,2025,8,4
Electronics,1161.68,0.0,1,Credit Card,South,0,1161.68,7.91,131.49,69,Female,4,2024,10,1
Fashion,13.88,0.0,1,Debit Card,South,0,13.88,5.31,-0.45,63,Male,4,2025,5,2
Sports,53.93,0.0,1,Debit Card,North,0,53.93,5.21,10.97,57,Female,5,2025,6,1
Toys,14.51,0.0,1,Credit Card,East,0,14.51,4.15,1.65,48,Male,5,2025,8,0
Toys,2.82,0.2,3,Credit Card,West,0,6.77,3.43,-0.72,24,Other,5,2025,5,1
Fashion,44.08,0.05,4,Wallet,Central,0,167.5,7.43,51.19,36,Female,8,2023,11,6
Sports,210.6,0.1,1,Credit Card,South,0,189.54,9.21,47.65,66,Female,4,2023,9,4
Fashion,118.71,0.0,1,COD,North,0,118.71,6.57,34.98,61,Female,3,2025,2,1
Beauty,12.67,0.0,2,PayPal,South,0,25.34,3.95,7.45,42,Male,6,2025,1,0
Grocery,11.77,0.2,1,COD,East,0,9.42,1.0,-0.25,48,Female,7,2025,4,6
Electronics,537.39,0.15,1,PayPal,Central,1,456.78,9.4,45.41,28,Female,4,2024,2,4
Grocery,4.84,0.0,1,COD,South,0,4.84,1.46,-1.07,33,Female,6,2023,11,5
Toys,16.78,0.0,2,Credit Card,South,1,33.56,5.18,8.24,34,Female,4,2024,10,2
Toys,10.98,0.0,1,Debit Card,South,0,10.98,1.74,2.65,23,Female,5,2025,1,3
Sports,56.72,0.0,2,COD,East,0,113.44,8.53,25.5,38,Male,6,2024,2,0
Toys,3.94,0.05,1,Credit Card,Central,0,3.74,1.52,-0.02,62,Male,5,2025,6,0
Grocery,7.88,0.2,1,Credit Card,South,0,6.3,2.16,-1.66,27,Female,7,2025,2,2
Toys,5.45,0.0,3,Wallet,South,0,16.35,4.57,1.97,25,Female,4,2025,9,1
Fashion,22.63,0.1,1,Credit Card,East,0,20.37,3.95,3.18,65,Male,7,2024,6,3
Beauty,12.82,0.0,1,Credit Card,Central,0,12.82,3.74,2.03,18,Male,4,2024,4,1
Fashion,32.69,0.15,1,UPI,South,0,27.79,7.19,2.54,21,Male,6,2024,7,1
Grocery,33.76,0.0,2,UPI,South,0,67.52,5.44,-0.04,41,Female,6,2024,7,4
Grocery,14.13,0.0,2,COD,Central,0,28.26,5.99,-3.73,58,Female,5,2025,5,1
Beauty,92.86,0.0,1,Credit Card,South,0,92.86,7.23,34.56,51,Female,5,2025,4,3
Toys,19.57,0.05,1,PayPal,South,0,18.59,5.17,2.27,40,Male,6,2024,8,1
Grocery,22.56,0.05,1,Debit Card,North,0,21.43,5.71,-4.0,43,Female,3,2023,11,1
Fashion,93.34,0.05,2,UPI,Central,0,177.35,6.54,55.53,46,Female,5,2024,3,1
Beauty,35.91,0.1,1,Debit Card,North,0,32.32,5.16,9.38,49,Female,5,2023,12,1
Home,155.94,0.0,1,PayPal,Central,0,155.94,7.4,36.26,43,Female,4,2023,9,2
Toys,12.64,0.1,2,PayPal,North,0,22.75,4.33,4.77,52,Female,7,2025,2,3
Home,120.29,0.0,1,COD,West,0,120.29,7.36,26.32,31,Male,5,2024,2,5
Sports,31.17,0.1,1,COD,West,0,28.05,6.92,1.49,38,Female,4,2024,6,3
Home,136.79,0.1,1,Credit Card,West,0,123.11,6.32,28.15,37,Female,4,2023,12,0
Electronics,284.7,0.0,1,Wallet,North,0,284.7,9.1,25.06,50,Female,6,2024,10,2
Electronics,580.17,0.0,2,Debit Card,West,0,1160.34,9.05,130.19,36,Female,4,2025,2,3
Electronics,806.71,0.0,4,UPI,East,0,3226.84,11.85,375.37,19,Female,6,2023,12,1
Electronics,96.31,0.0,4,UPI,East,0,385.24,9.61,36.62,38,Female,7,2024,12,2
Beauty,31.77,0.0,5,COD,South,0,158.85,7.94,63.54,19,Female,5,2025,7,4
Sports,304.67,0.0,2,UPI,South,0,609.34,9.29,173.51,58,Female,5,2025,7,5
Electronics,862.36,0.0,1,PayPal,North,0,862.36,10.06,93.42,31,Female,3,2024,1,1
Beauty,47.06,0.05,1,Debit Card,Central,0,44.71,5.76,14.36,24,Male,3,2024,3,6
Beauty,4.21,0.0,1,COD,North,0,4.21,2.28,-0.39,25,Female,3,2024,12,2
Electronics,144.57,0.0,2,Debit Card,North,0,289.14,8.7,26.0,63,Male,3,2024,11,3
Home,31.13,0.0,1,Credit Card,North,0,31.13,3.29,5.43,28,Male,3,2023,9,0
Sports,267.28,0.2,1,PayPal,Central,0,213.82,7.25,56.9,52,Male,4,2025,2,4
Electronics,499.11,0.05,1,Credit Card,Central,0,474.15,8.66,48.24,45,Male,4,2025,7,0
Electronics,296.62,0.2,2,Wallet,North,0,474.59,8.71,48.24,36,Female,4,2024,2,1
Grocery,52.12,0.0,1,COD,South,0,52.12,6.56,-2.39,50,Female,4,2025,7,2
Sports,31.3,0.0,1,Credit Card,West,0,31.3,4.71,4.68,32,Male,4,2024,1,0
Home,145.09,0.1,1,Debit Card,Central,0,130.58,8.51,28.05,38,Male,3,2024,11,6
Beauty,26.03,0.0,1,Debit Card,West,0,26.03,7.52,4.19,44,Male,4,2024,4,0
Toys,10.19,0.2,1,Credit Card,West,0,8.15,3.7,-0.44,21,Male,6,2024,2,0
Toys,15.07,0.0,3,UPI,Central,0,45.21,6.94,11.14,26,Male,3,2024,9,0
Fashion,18.2,0.05,2,PayPal,West,0,34.58,5.84,6.26,22,Female,6,2025,4,5
Home,158.84,0.1,1,Credit Card,West,0,142.96,6.88,33.15,67,Female,4,2023,10,6
Beauty,16.27,0.0,2,Debit Card,South,0,32.54,4.52,10.12,39,Female,5,2025,7,4
Electronics,57.75,0.0,1,UPI,West,0,57.75,6.46,0.47,24,Male,6,2024,4,1
Grocery,40.65,0.0,1,PayPal,Central,0,40.65,4.89,-1.64,42,Female,3,2025,9,2
Home,101.64,0.05,2,Wallet,East,0,193.12,8.34,45.73,51,Female,6,2024,9,1
Home,171.02,0.0,1,UPI,Central,0,171.02,8.52,39.37,43,Male,3,2025,7,6
Grocery,3.89,0.05,2,UPI,Central,0,7.39,4.18,-3.59,55,Female,4,2024,8,4
Electronics,94.23,0.0,2,Debit Card,East,0,188.46,6.66,15.96,20,Male,6,2023,9,2
Electronics,806.31,0.1,3,Credit Card,South,0,2177.04,9.81,251.43,45,Male,6,2025,9,5
Sports,97.9,0.05,1,UPI,North,0,93.0,7.45,20.45,50,Female,3,2025,7,3
Home,99.52,0.0,1,UPI,West,0,99.52,8.19,19.68,50,Male,7,2024,2,4
Toys,16.48,0.0,1,UPI,East,0,16.48,3.97,2.62,54,Female,8,2023,12,3
Electronics,137.57,0.0,1,Wallet,West,0,137.57,8.34,8.17,39,Female,5,2025,4,5
Home,331.04,0.0,1,Credit Card,North,0,331.04,6.99,85.7,34,Female,4,2024,2,5
Fashion,16.85,0.0,2,PayPal,West,0,33.7,3.4,8.4,67,Female,6,2024,11,1
Sports,26.91,0.0,1,Debit Card,North,0,26.91,2.99,5.08,37,Female,4,2024,11,2
Fashion,135.78,0.1,1,COD,East,0,122.2,8.48,34.29,45,Male,5,2024,11,6
Home,49.21,0.0,1,Credit Card,West,0,49.21,5.29,8.49,64,Female,5,2024,10,1
Toys,41.02,0.0,2,Debit Card,North,0,82.04,6.87,25.95,45,Male,4,2025,1,4
Grocery,20.5,0.0,2,COD,East,0,41.0,5.35,-2.07,40,Female,6,2024,6,2
Sports,57.32,0.0,1,Credit Card,Central,0,57.32,7.37,9.83,56,Female,3,2024,3,2
Home,48.58,0.0,2,Wallet,North,0,97.16,7.6,19.6,46,Female,3,2023,11,5
Beauty,37.86,0.0,1,Credit Card,North,0,37.86,5.8,11.24,66,Female,4,2024,9,5
Sports,99.51,0.05,2,Credit Card,North,0,189.07,8.19,48.53,22,Male,3,2025,4,1
Toys,7.76,0.05,1,PayPal,West,0,7.37,3.72,-0.77,55,Female,5,2024,12,1
Grocery,30.17,0.15,1,Credit Card,East,0,25.64,4.28,-2.23,29,Male,5,2024,4,2
Grocery,17.81,0.2,1,Debit Card,Central,0,14.25,4.86,-3.72,62,Male,5,2023,12,0
Toys,49.2,0.0,1,Credit Card,West,0,49.2,6.38,13.3,44,Female,6,2024,8,5
Electronics,236.98,0.0,1,UPI,South,0,236.98,8.56,19.88,63,Male,4,2025,8,4
Sports,23.49,0.0,1,Credit Card,West,0,23.49,4.42,2.63,42,Male,4,2025,1,4
Toys,52.7,0.0,1,Credit Card,West,0,52.7,7.0,14.08,35,Male,5,2025,6,0
Toys,20.09,0.05,3,Credit Card,East,0,57.26,7.4,15.5,32,Male,6,2025,5,5
Grocery,13.27,0.0,4,COD,Central,0,53.08,4.7,-0.45,40,Male,5,2025,7,2
Home,125.56,0.0,1,UPI,North,0,125.56,7.14,28.02,21,Male,5,2024,11,4
Sports,72.87,0.0,1,Debit Card,East,0,72.87,7.84,14.02,18,Female,6,2023,10,4
Electronics,145.69,0.0,2,Credit Card,Central,0,291.38,8.39,26.58,41,Female,7,2025,4,4
Beauty,26.26,0.2,1,Debit Card,South,0,21.01,4.51,4.94,24,Male,5,2024,12,0
Home,176.95,0.2,1,Wallet,East,0,141.56,7.16,32.48,18,Female,6,2024,1,2
Grocery,33.7,0.0,1,COD,East,0,33.7,6.42,-3.72,36,Male,5,2024,9,2
Grocery,1.99,0.0,4,Debit Card,Central,0,7.96,1.92,-1.28,25,Male,4,2025,4,0
Toys,7.78,0.05,1,Debit Card,North,0,7.39,1.92,1.04,65,Male,3,2024,6,6
Electronics,537.23,0.0,1,COD,North,0,537.23,9.75,54.72,68,Female,3,2023,9,5
Home,206.49,0.0,1,Credit Card,East,0,206.49,10.12,47.7,35,Male,7,2024,11,4
Sports,33.43,0.0,1,Credit Card,North,0,33.43,6.41,3.62,36,Female,5,2023,12,4
Electronics,116.37,0.05,3,UPI,East,0,331.65,8.23,31.57,56,Male,8,2023,12,3
Fashion,27.49,0.0,2,UPI,East,0,54.98,6.08,13.16,59,Male,6,2023,12,4
Grocery,1.86,0.0,2,Credit Card,Central,0,3.72,3.06,-2.76,32,Male,3,2024,5,0
Electronics,475.97,0.0,1,Credit Card,West,0,475.97,7.92,49.2,18,Male,4,2025,1,1
Electronics,410.13,0.0,1,Debit Card,North,0,410.13,8.95,40.27,48,Female,4,2024,5,5
Beauty,50.95,0.3,1,Debit Card,East,0,35.66,6.4,9.65,24,Female,6,2024,5,3
Grocery,8.4,0.05,5,UPI,South,0,39.9,6.54,-3.35,39,Male,4,2024,2,5
Toys,21.91,0.0,1,Debit Card,North,0,21.91,3.83,4.93,48,Male,4,2025,5,2
Grocery,41.53,0.2,1,Credit Card,North,0,33.22,4.47,-1.81,48,Male,3,2023,11,4
Sports,323.62,0.0,1,Credit Card,East,0,323.62,10.29,86.8,57,Male,5,2025,6,2
Home,19.71,0.0,1,UPI,South,0,19.71,4.96,0.56,55,Male,6,2024,8,3
Grocery,1.02,0.0,1,Credit Card,East,0,1.02,2.2,-2.12,20,Male,5,2024,5,5
Home,433.77,0.0,1,Credit Card,Central,1,433.77,7.22,114.24,43,Male,3,2025,6,3
Fashion,42.68,0.05,1,Wallet,West,0,40.55,5.77,8.42,48,Female,5,2024,3,1
Home,168.7,0.0,1,Credit Card,West,0,168.7,8.16,39.08,51,Female,7,2025,5,0
Toys,49.93,0.0,1,Wallet,South,0,49.93,6.99,12.98,33,Female,4,2025,7,1
Grocery,8.47,0.15,2,Debit Card,South,0,14.4,4.4,-3.25,37,Male,5,2025,3,3
Fashion,33.57,0.0,1,Credit Card,Central,0,33.57,5.32,6.43,68,Male,4,2024,1,1
Home,34.06,0.0,2,Debit Card,North,0,68.12,5.7,13.37,63,Female,4,2023,9,0
Grocery,32.11,0.0,1,COD,South,0,32.11,4.49,-1.92,40,Female,6,2024,7,0
Electronics,389.04,0.0,1,COD,North,0,389.04,7.63,39.05,52,Male,4,2024,3,4
Toys,5.91,0.0,1,Debit Card,North,0,5.91,3.39,-1.03,52,Other,3,2024,4,6
Home,118.03,0.1,2,COD,South,0,212.45,9.3,50.19,46,Female,4,2024,9,2
Home,62.37,0.15,3,UPI,North,0,159.04,8.82,35.71,55,Male,3,2025,6,3
Home,30.96,0.0,1,Credit Card,West,0,30.96,6.17,2.5,24,Female,5,2024,12,0
Home,36.43,0.05,1,COD,North,0,34.61,4.45,5.24,58,Male,4,2025,4,2
Sports,90.56,0.05,1,Debit Card,West,0,86.03,7.29,18.52,35,Male,5,2023,10,1
Grocery,11.94,0.05,1,Credit Card,West,0,11.34,4.76,-3.85,24,Female,6,2024,10,5
Home,215.45,0.0,1,Credit Card,East,0,215.45,7.77,52.56,40,Female,7,2024,7,2
Toys,7.6,0.05,4,Credit Card,South,0,28.88,6.38,5.17,64,Male,5,2024,9,4
Sports,253.37,0.15,1,Debit Card,Central,0,215.36,9.96,54.65,32,Male,3,2025,9,2
Fashion,40.94,0.0,1,Debit Card,Central,0,40.94,4.6,9.73,35,Male,4,2025,6,1
Beauty,8.6,0.0,1,Credit Card,West,0,8.6,2.96,0.91,31,Female,4,2025,1,6
Sports,62.43,0.15,1,COD,West,0,53.07,8.22,7.7,63,Female,4,2025,6,6
Electronics,884.8,0.05,3,Wallet,West,0,2521.68,12.53,290.07,30,Male,6,2024,1,6
Home,95.63,0.0,1,Credit Card,West,0,95.63,9.07,17.71,51,Female,4,2024,3,5
Grocery,28.35,0.1,1,Credit Card,Central,0,25.52,4.68,-2.64,32,Male,4,2025,6,2
Beauty,7.27,0.0,1,Debit Card,North,0,7.27,2.17,1.1,48,Male,3,2025,4,1
Fashion,125.6,0.1,1,Debit Card,West,0,113.04,7.9,31.66,65,Female,4,2024,2,1
Fashion,32.69,0.0,4,PayPal,North,0,130.76,6.66,39.11,66,Male,3,2024,11,1
Fashion,140.25,0.0,1,Wallet,East,1,140.25,7.55,41.54,56,Female,5,2024,9,4
Home,274.72,0.05,1,PayPal,North,0,260.98,9.1,63.97,24,Female,4,2023,9,0
Fashion,58.04,0.0,2,Credit Card,East,0,116.08,7.03,33.6,55,Female,6,2025,2,6
Electronics,413.13,0.0,1,PayPal,South,0,413.13,8.79,40.79,20,Female,4,2024,8,4
Home,41.29,0.0,1,COD,West,0,41.29,4.19,7.37,63,Female,5,2024,9,2
Beauty,25.62,0.0,1,PayPal,Central,0,25.62,6.05,5.48,49,Male,4,2023,12,4
Electronics,309.15,0.05,1,COD,East,0,293.69,9.11,26.13,50,Female,7,2024,2,1
Electronics,182.17,0.0,1,Debit Card,South,0,182.17,8.24,13.62,40,Male,4,2024,8,3
Electronics,278.95,0.15,1,Credit Card,East,0,237.11,6.78,21.67,39,Other,6,2024,9,2
Fashion,135.15,0.0,1,COD,East,0,135.15,7.76,39.54,27,Male,7,2024,2,2
Fashion,5.26,0.1,1,Debit Card,West,0,4.73,1.41,0.25,26,Male,5,2024,1,0
Beauty,16.22,0.0,1,Credit Card,East,0,16.22,4.87,2.43,41,Female,8,2024,1,4
Home,63.45,0.0,1,Credit Card,East,0,63.45,5.95,11.82,65,Male,7,2023,11,6
Fashion,164.8,0.2,1,Credit Card,North,0,131.84,5.96,40.18,49,Male,4,2023,10,1
Toys,73.7,0.0,1,Wallet,West,0,73.7,6.11,23.37,31,Male,4,2023,11,3
Home,126.01,0.0,1,Debit Card,East,0,126.01,5.32,29.96,50,Female,5,2025,2,1
Electronics,309.52,0.0,1,UPI,East,0,309.52,8.23,28.91,20,Female,5,2024,8,3
Fashion,119.82,0.0,1,Debit Card,South,1,119.82,6.39,35.55,60,Female,6,2023,12,0
Grocery,1.09,0.0,1,COD,East,0,1.09,1.22,-1.13,53,Male,5,2025,4,1
Grocery,11.88,0.15,1,COD,South,0,10.1,4.56,-3.75,38,Male,5,2025,3,2
Fashion,6.23,0.15,1,Credit Card,North,0,5.3,3.21,-1.36,50,Female,4,2025,3,2
Electronics,1170.31,0.05,1,Debit Card,Central,0,1111.79,11.47,121.94,32,Male,4,2024,12,2
Home,60.81,0.0,1,Debit Card,North,0,60.81,5.5,11.53,52,Male,5,2024,12,5
Home,106.86,0.05,1,Wallet,South,0,101.52,7.05,21.38,55,Female,5,2025,8,0
Home,81.17,0.2,1,Wallet,North,0,64.94,7.12,11.06,19,Female,4,2025,3,6
